discipline,nb_pub,nb_journals_pub,nb_clean_journals_pub,nb_clean_articles_pub
AGRI,232343,219940,219176,196587
ARTS,119694,92971,92938,69301
BIOC,498880,482637,481543,411078
BUSI,57386,41479,41235,36266
CENG,135108,122393,122379,111314
COMP,348972,125107,124978,111258
DECI,39288,27409,27409,25464
DENT,7603,7146,7119,5849
EART,217455,182062,176174,163779
ECON,58136,46690,46688,41257
ENER,75478,53180,53078,47445
ENGI,517193,288533,286032,258547
ENVI,154090,137390,132590,116959
HEAL,35568,32906,32891,25410
IMMU,133141,130612,130549,107925
MATE,358813,289084,288965,265745
MATH,295291,189242,189146,178431
MEDI,1057143,1028703,1005738,737277
MULT,53388,50011,50001,45482
NEUR,102304,96738,96310,80115
NURS,51225,50710,50635,34780
PHAR,107369,105472,105376,87052
PHYS,592310,490591,490534,452490
PSYC,65054,62453,61793,51286
SOCI,182328,141763,141065,115740
VETE,23473,23126,23050,19435
overall,5519033,4518348,4477392,3796272
